frame_index,file_name,background_rms,detected_sources,reference_score
0,CoRoT-2260809051853.fits,2.8581838607788086,745,141730.92237730575
1,CoRoT-2260809052256.fits,2.853719711303711,741,152516.53933139995
2,CoRoT-2260809052658.fits,2.853313446044922,609,153698.81235703142
3,CoRoT-2260809052844.fits,2.8753724098205566,487,152509.74541984676
4,CoRoT-2260809053031.fits,2.845541000366211,721,154545.5706003755
5,CoRoT-2260809053315.fits,2.8740081787109375,608,153011.66889477623
6,CoRoT-2260809053616.fits,2.888093948364258,584,151331.63381946686
7,CoRoT-2260809053915.fits,2.858266830444336,776,152804.00588566987
8,CoRoT-2260809054215.fits,2.765594244003296,623,138645.96840947252
9,CoRoT-2260809054516.fits,2.7591123580932617,490,142404.13440487997
10,CoRoT-2260809054815.fits,2.8441860675811768,646,149528.79513329317
11,CoRoT-2260809055115.fits,2.722182273864746,646,136924.08718423915
12,CoRoT-2260809055417.fits,2.848874568939209,636,147433.41278425072
13,CoRoT-2260809055716.fits,2.2469406127929688,241,51121.274655276036
14,CoRoT-2260809060015.fits,2.8597772121429443,539,154045.95443199226
15,CoRoT-2260809060316.fits,2.8879470825195312,679,155171.90919586082
16,CoRoT-2260809060615.fits,2.899186134338379,603,153486.55406598054
17,CoRoT-2260809060916.fits,2.8538546562194824,704,156009.88744499342
18,CoRoT-2260809061215.fits,2.8756487369537354,680,152511.07366881554
19,CoRoT-2260809061515.fits,2.852339506149292,684,153665.41530891383
20,CoRoT-2260809061815.fits,2.8665504455566406,731,152855.01993082697
21,CoRoT-2260809062115.fits,2.859513998031616,592,155227.66105823647
22,CoRoT-2260809062415.fits,2.8840723037719727,575,155247.36410432088
23,CoRoT-2260809062715.fits,2.858773708343506,654,154415.50183502596
24,CoRoT-2260809063016.fits,2.732823610305786,649,138409.90988312723
25,CoRoT-2260809063316.fits,2.866050958633423,569,150679.92619703588
26,CoRoT-2260809063615.fits,2.354924201965332,358,70909.97890671794
27,CoRoT-2260809063915.fits,2.699824571609497,501,130350.67781490186
28,CoRoT-2260809064216.fits,2.860827922821045,669,152249.67290203617
29,CoRoT-2260809064515.fits,2.7474145889282227,631,145556.72638398153
30,CoRoT-2260809064815.fits,2.8607635498046875,589,148532.87673015686
31,CoRoT-2260809065116.fits,2.8453850746154785,680,153726.20336388645
32,CoRoT-2260809065416.fits,2.760687828063965,765,154813.35286174374
33,CoRoT-2260809065716.fits,2.6337943077087402,643,128017.58237136205
34,CoRoT-2260809070015.fits,2.8299543857574463,745,152278.6069936626
35,CoRoT-2260809070315.fits,2.8118300437927246,712,156744.25332233307
36,CoRoT-2260809070616.fits,2.824225902557373,625,153753.82991815906
37,CoRoT-2260809070916.fits,2.846742630004883,615,152495.7636951906
38,CoRoT-2260809071215.fits,2.744689464569092,772,154897.87218171687
