frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,accepted,hours_from_expected_mid,detrended_flux,transit_model
0,CoRoT-2260809051853.fits,61261.22134722222,100.0,2.8581838607788086,3.310274986092111,26.413267644790437,0,-33.5,-1.0651592773842953,48.0,2.2667423456544067,-58.5,-2.2100737870130467,-40.0,-1.6628451405945386,-77.5,-2.6881903065600943,-68.0,-3.2112183230104097,120.0,7.6309918379770405,112.0,6.104793470381632,-27.5,-1.0288854307428708,-16.5,-1.0492613777218431,526.0,25.08688566734952,2461261.727147986,-0.003131461883281301,6.339483791209395,False,-1.7332083396613598,6.0798549767434364,1.0
1,CoRoT-2260809052256.fits,61261.224347222225,100.0,2.853719711303711,8.645706273535225,25.253905949644718,9,1852.5,86.63683002050765,12531.0,603.7174076429438,14438.5,459.08364855263125,9577.5,398.1474833511048,10829.5,516.4989131835772,13222.5,504.50394788825713,9359.5,360.7369293326396,8448.5,526.820518886736,5595.0,269.55541423368214,9438.0,363.76250216800605,5091.0,323.74482872617597,2461261.730147881,1.052839167621749,1.0426832621145168,True,-1.6612108647823334,1.000311928157269,1.0
2,CoRoT-2260809052658.fits,61261.22734722222,100.0,2.853313446044922,5.677464294198671,27.65351949897496,9,1840.0,101.31126509689265,12541.5,598.1505258499316,13895.0,441.80263161954576,9542.0,459.7136304946908,10662.5,508.5340654526887,13284.5,497.0264910801334,9271.0,353.73462664942576,8316.0,396.6208007788567,5553.5,349.67648934977075,9395.0,448.08230198621436,4995.0,317.6400352557943,2461261.7331477753,1.0422256461716102,1.0461941465129068,True,-1.5892134010791779,1.0040124544305156,1.0
3,CoRoT-2260809052844.fits,61261.228347222226,100.0,2.8753724098205566,5.606836489076386,26.475407718959673,10,1774.5,94.84452970666099,11968.5,507.3973656268234,14453.0,459.54468764284235,9073.5,432.74877776177925,10091.5,476.5589662744051,12387.5,596.8038773583088,8464.0,322.94357458318837,7488.0,357.1304180173255,4989.0,237.9438642479216,8841.5,334.02337415172394,4645.5,295.4147715276862,2461261.73414774,0.9875670989015027,1.0647940344764715,True,-1.5652142465114594,1.021975200279388,1.0
4,CoRoT-2260809053031.fits,61261.23034722223,100.0,2.845541000366211,0.6873593859084366,27.511413150450494,9,1809.5,84.62582667860111,12270.0,459.06997218963727,14190.5,442.43632439262745,9215.0,435.16730656677834,10592.5,400.1744716057384,13184.0,503.03498195944655,9057.0,338.85873986320655,7853.5,494.4961392110245,5076.5,322.8227505457537,9323.5,348.82957503749657,4958.0,315.2871461057514,2461261.7361476696,1.021276926232619,1.0499564503546384,True,-1.5172159373760223,1.00795679429461,0.9999999964538955
5,CoRoT-2260809053315.fits,61261.23134722222,100.0,2.8740081787109375,0.18424783835665437,21.296255791861498,10,1800.0,85.8486581772417,12211.5,588.3245649534601,14828.5,481.2063529541777,9371.0,442.5342191901551,10494.5,444.90802135361145,12933.5,623.109016977896,9049.5,348.78880730762563,8042.5,511.43543214108627,5425.0,344.98442267521204,9198.5,354.5316143454549,4895.5,231.1841073573156,2461261.7371476344,1.021109733001424,1.0446151203860663,True,-1.4932167828083038,1.0029398506151441,0.9960347131165765
6,CoRoT-2260809053616.fits,61261.23434722222,100.0,2.888093948364258,0.6032844299401106,21.150048356255127,10,1631.5,69.1664621314419,11852.0,373.13097612077814,10382.0,330.1039885911568,8868.5,368.6735532340667,9875.0,384.54970378035586,12538.0,469.09692838742234,8573.0,330.42338748530574,7813.0,496.84116025095517,5015.5,244.1403847228322,8807.0,480.0438936933128,4584.5,300.69609853055334,2461261.7401475282,0.9683203647953657,0.998445194343435,True,-1.4212193302810192,0.9589295257676744,0.9841388649511638
7,CoRoT-2260809053915.fits,61261.23634722222,100.0,2.858266830444336,-5.520493116546483,21.185352046505102,10,1841.0,86.93901371562006,12736.5,601.4659142797365,15381.0,575.4649749184035,9614.5,399.6856151061548,10850.5,517.5004808623117,13410.0,506.6169142537599,9462.5,465.4820862163858,8537.0,537.5327612458797,5690.0,268.7034155577828,9398.0,410.9414961995333,5076.5,329.4795900828652,2461261.742147458,1.0584654406222478,1.030702487859793,True,-1.3732210211455822,0.9901288856633326,0.9762082982765259
8,CoRoT-2260809054215.fits,61261.23834722222,100.0,2.765594244003296,-2.5073066694745876,20.22546294822088,10,1557.5,99.043914897077,10928.0,516.06167402732,13557.0,512.1704330006132,7926.0,494.2391469132117,9792.0,462.415438513499,12066.0,455.8418857111012,8476.0,416.95388774320594,7669.5,365.7868243835307,4994.0,235.83565154579392,8416.5,414.0269462235362,4606.5,295.90873176466056,2461261.744147387,0.9489531342269939,0.9726117441139996,True,-1.325222723186016,0.9345313678738864,0.968277733448432
9,CoRoT-2260809054516.fits,61261.24034722222,100.0,2.7591123580932617,1.6589480748260108,20.772640562763073,10,1420.25,76.65097181942075,9955.5,372.4752329367509,10110.0,378.2556983567427,7661.0,361.7815231262169,8649.0,412.5028025416464,10967.0,517.9034021831642,7566.5,240.58291559188865,6868.5,324.3566625234853,4446.5,282.7600433963743,7651.5,364.9283378017583,4109.5,194.0662014472247,2461261.7461473164,0.8459981499179949,0.9948362531421744,True,-1.277224414050579,0.9560970229043325,0.9681625589551084
