frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
0,CoRoT-2260816044002.fits,2.7195279598236084,864,6.153846153846154e-06,True,150583.72543369248
1,CoRoT-2260816044215.fits,2.7129197120666504,862,1.2307692307692308e-05,True,157884.02534184154
2,CoRoT-2260816044515.fits,2.688967227935791,721,3.076923076923077e-06,True,156109.14740299687
3,CoRoT-2260816044815.fits,2.7052574157714844,639,0.0,True,150944.27818553316
4,CoRoT-2260816045115.fits,2.708735227584839,832,6.153846153846154e-06,True,157001.6235024657
5,CoRoT-2260816045416.fits,2.716700553894043,775,9.23076923076923e-06,True,155844.03606599156
6,CoRoT-2260816045716.fits,2.7064123153686523,796,6.153846153846154e-06,True,150910.93820420108
7,CoRoT-2260816050015.fits,2.599505662918091,703,3.076923076923077e-06,True,130878.82709797575
8,CoRoT-2260816050315.fits,2.539708137512207,685,0.0,True,116472.9865910749
9,CoRoT-2260816050615.fits,2.6767427921295166,768,3.076923076923077e-06,True,140536.0739932839
10,CoRoT-2260816050915.fits,2.5600719451904297,664,0.0,True,124711.80210025965
11,CoRoT-2260816051215.fits,2.5349268913269043,773,6.153846153846154e-06,True,122333.89261919439
12,CoRoT-2260816051515.fits,2.45202374458313,522,0.0,True,97731.50936926353
13,CoRoT-2260816051815.fits,2.3810060024261475,446,0.0,True,82070.87309144206
14,CoRoT-2260816052115.fits,2.2872443199157715,383,0.0,True,70753.60968699516
15,CoRoT-2260816052415.fits,2.2299461364746094,347,0.0,True,55062.73277827862
16,CoRoT-2260816053015.fits,2.550239324569702,714,2.7692307692307694e-05,True,112974.0280868125
17,CoRoT-2260816053316.fits,2.5423622131347656,509,0.0,True,123219.80147794708
18,CoRoT-2260816053616.fits,2.5939688682556152,711,6.153846153846154e-06,True,137388.45372721463
19,CoRoT-2260816053916.fits,2.6751372814178467,705,6.153846153846154e-06,True,135387.5013665808
20,CoRoT-2260816054215.fits,2.6344218254089355,587,0.0,True,133034.81190120953
21,CoRoT-2260816054515.fits,2.508871078491211,559,0.0,True,105291.50307859911
22,CoRoT-2260816054815.fits,2.552459239959717,505,0.0,True,120772.04288744689
23,CoRoT-2260816055115.fits,2.6787242889404297,577,0.0,True,132420.53347175318
24,CoRoT-2260816055415.fits,2.5962376594543457,801,3.076923076923077e-06,True,135978.39453340447
25,CoRoT-2260816055715.fits,2.6245062351226807,708,3.076923076923077e-06,True,136290.44122893788
26,CoRoT-2260816060015.fits,2.4836063385009766,556,0.0,True,105028.97289277143
27,CoRoT-2260816060315.fits,2.4012973308563232,590,0.0,True,93794.12683787191
28,CoRoT-2260816060616.fits,2.500385046005249,494,0.0,True,103730.86640880106
29,CoRoT-2260816060915.fits,2.5135018825531006,507,0.0,True,105103.70955355384
30,CoRoT-2260816061215.fits,2.407325267791748,412,0.0,True,94940.79845150873
31,CoRoT-2260816061515.fits,2.379807472229004,456,0.0,True,83985.76210312618
32,CoRoT-2260816061815.fits,2.344447135925293,402,0.0,True,71611.9917391108
33,CoRoT-2260816062116.fits,2.396359920501709,481,0.0,True,91430.08709408021
34,CoRoT-2260816062415.fits,2.5452561378479004,667,0.0,True,124799.21223412915
35,CoRoT-2260816062715.fits,2.71500825881958,772,6.153846153846154e-06,True,151757.0122173563
36,CoRoT-2260816063015.fits,2.730774402618408,743,3.076923076923077e-06,True,155811.73444314665
37,CoRoT-2260816063315.fits,2.6321020126342773,757,6.153846153846154e-06,True,137210.8971763711
38,CoRoT-2260816063616.fits,2.669419765472412,664,0.0,True,138189.27914094922
39,CoRoT-2260816063915.fits,2.8066656589508057,703,6.153846153846154e-06,True,159185.32892185182
40,CoRoT-2260816064216.fits,2.710918664932251,673,3.076923076923077e-06,True,144397.69597051718
41,CoRoT-2260816064515.fits,2.556375503540039,594,0.0,True,119963.36465969349
42,CoRoT-2260816064815.fits,2.5257174968719482,646,3.076923076923077e-06,True,112504.76528048421
43,CoRoT-2260816065115.fits,2.5218663215637207,600,0.0,True,107351.46075442965
