frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
0,HATP-10260905074224.fits,2.094123363494873,325,9.846153846153846e-05,True,160290.4835313017
1,HATP-10260905074835.fits,2.1970531940460205,226,9.846153846153846e-05,True,170754.09845287778
2,HATP-10260905075020.fits,2.1649718284606934,280,9.846153846153846e-05,True,181583.13162969204
3,HATP-10260905075816.fits,2.1990585327148438,295,9.538461538461538e-05,True,153006.91760542613
4,HATP-10260905080000.fits,2.2021231651306152,295,9.846153846153846e-05,True,181231.8503135538
5,HATP-10260905080614.fits,2.2071990966796875,300,9.846153846153846e-05,True,171661.51683707684
6,HATP-10260905081225.fits,2.1764698028564453,245,0.0001076923076923077,True,159100.4194454985
7,HATP-10260905082023.fits,2.1056628227233887,302,0.00010153846153846155,True,181813.85328047883
8,HATP-10260905082206.fits,2.1084887981414795,314,0.00010153846153846155,True,192960.65880542668
9,HATP-10260905083001.fits,2.185025691986084,329,0.00010153846153846155,True,176481.37934339533
10,HATP-10260905083613.fits,2.186845541000366,276,0.00010153846153846155,True,177381.76327211456
11,HATP-10260905083756.fits,2.1065003871917725,287,0.0001076923076923077,True,196791.40312086637
12,HATP-10260905084411.fits,2.172844171524048,285,9.538461538461538e-05,True,179883.40642573728
13,HATP-10260905085025.fits,2.1510422229766846,341,0.0001076923076923077,True,165295.73662790086
14,HATP-10260905085638.fits,2.1097545623779297,340,0.00010153846153846155,True,182468.51863135883
15,HATP-10260905090251.fits,2.1055173873901367,294,0.00010153846153846155,True,178082.0096503525
16,HATP-10260905090903.fits,2.1015141010284424,278,0.00010461538461538461,True,179137.4376274975
17,HATP-10260905091516.fits,2.143141269683838,293,0.00010461538461538461,True,174816.1344578799
18,HATP-10260905092127.fits,2.118591785430908,289,0.0001076923076923077,True,170637.12952370793
19,HATP-10260905092925.fits,2.1142377853393555,325,0.00010461538461538461,True,167554.19955894141
20,HATP-10260905093109.fits,2.10908842086792,298,0.00011076923076923077,True,194604.64478070592
21,HATP-10260905093253.fits,2.1031250953674316,305,0.00010153846153846155,True,192892.93864357306
22,HATP-10260905093436.fits,2.109520435333252,286,0.0001076923076923077,True,201620.07514944105
23,HATP-10260905093620.fits,2.120110511779785,329,0.0001076923076923077,True,199513.24273839602
24,HATP-10260905093803.fits,2.1203927993774414,296,0.00010153846153846155,True,201006.2941315368
25,HATP-10260905093948.fits,2.1340177059173584,317,0.0001076923076923077,True,199428.6537633457
26,HATP-10260905094132.fits,2.1338284015655518,289,0.00010461538461538461,True,201166.35268876556
27,HATP-10260905094316.fits,2.1380674839019775,285,0.00011076923076923077,True,201841.87972820248
28,HATP-10260905094501.fits,2.0876317024230957,325,0.00011076923076923077,True,197452.79612323298
29,HATP-10260905094645.fits,2.1276800632476807,260,0.00010461538461538461,True,201519.86945785346
30,HATP-10260905094830.fits,2.116962432861328,229,0.00010461538461538461,True,202795.52105869187
31,HATP-10260905095013.fits,2.1506686210632324,307,0.0001076923076923077,True,198266.3709876928
32,HATP-10260905095157.fits,2.130816698074341,301,0.0001076923076923077,True,205517.22735732174
33,HATP-10260905095340.fits,2.1163806915283203,255,0.00011076923076923077,True,200476.9000237024
34,HATP-10260905095523.fits,2.190433979034424,242,9.846153846153846e-05,True,188842.54547504795
35,HATP-10260905095706.fits,2.131002902984619,246,0.00010461538461538461,True,191195.72895547745
36,HATP-10260905095849.fits,2.128237724304199,292,9.538461538461538e-05,True,185971.17406869182
37,HATP-10260905100034.fits,2.1238796710968018,250,0.00010461538461538461,True,187330.06500327733
38,HATP-10260905100217.fits,2.1811914443969727,271,9.846153846153846e-05,True,178412.24884298985
39,HATP-10260905100401.fits,2.189786911010742,243,0.00010461538461538461,True,188660.16939949253
40,HATP-10260905100546.fits,2.097212314605713,296,0.00010153846153846155,True,208120.92308328935
41,HATP-10260905100731.fits,2.12697172164917,293,0.0001076923076923077,True,205732.70781151252
42,HATP-10260905100915.fits,2.1289820671081543,288,0.00011384615384615384,True,206286.15985982795
43,HATP-10260905101058.fits,2.09205961227417,324,0.00011692307692307692,True,211117.37580740338
44,HATP-10260905101241.fits,2.0954365730285645,298,0.00011076923076923077,True,210144.85263203646
45,HATP-10260905101424.fits,2.1378376483917236,296,0.0001076923076923077,True,208954.322806915
46,HATP-10260905101608.fits,2.1176910400390625,314,0.00011692307692307692,True,203317.7696148719
47,HATP-10260905101752.fits,2.15580677986145,303,0.0001076923076923077,True,202633.02621280059
48,HATP-10260905101937.fits,2.1393332481384277,264,9.846153846153846e-05,True,197459.73512133159
49,HATP-10260905102121.fits,2.1928491592407227,254,9.23076923076923e-05,True,177991.9410446953
50,HATP-10260905102304.fits,2.1367530822753906,285,9.538461538461538e-05,True,183913.0335043034
51,HATP-10260905102448.fits,2.2241005897521973,275,9.23076923076923e-05,True,171301.93739694275
52,HATP-10260905102632.fits,2.2008941173553467,259,9.23076923076923e-05,True,175452.9061611473
53,HATP-10260905102817.fits,2.198134422302246,208,0.00010461538461538461,True,185274.69506978794
54,HATP-10260905103001.fits,2.119586944580078,307,9.846153846153846e-05,True,196536.680689011
55,HATP-10260905103146.fits,2.1288461685180664,272,9.538461538461538e-05,True,204578.61083916412
56,HATP-10260905103329.fits,2.118412494659424,288,0.00010153846153846155,True,196907.06900344908
57,HATP-10260905103513.fits,2.095282554626465,294,0.00010461538461538461,True,210237.30517331546
58,HATP-10260905103656.fits,2.112352132797241,301,0.00010153846153846155,True,206104.84101045987
59,HATP-10260905103840.fits,2.096893548965454,326,0.00011692307692307692,True,208022.85670156791
60,HATP-10260905104026.fits,2.140932559967041,314,0.00011384615384615384,True,204395.4848989757
61,HATP-10260905104215.fits,2.0924999713897705,281,0.00011076923076923077,True,208618.7101496585
62,HATP-10260905104515.fits,2.1310672760009766,279,0.00010461538461538461,True,201537.39680459825
63,HATP-10260905104815.fits,2.090919256210327,325,0.00010153846153846155,True,210535.76161235108
64,HATP-10260905105115.fits,2.116098403930664,320,0.00010461538461538461,True,213376.191749929
65,HATP-10260905105416.fits,2.064410924911499,319,0.00010153846153846155,True,224012.34477102803
66,HATP-10260905105715.fits,2.0991616249084473,269,0.00011384615384615384,True,216164.41408812426
67,HATP-10260905110015.fits,2.0953099727630615,266,0.00010153846153846155,True,219425.63425127786
68,HATP-10260905110315.fits,2.0930166244506836,313,0.0001076923076923077,True,219409.16616902547
69,HATP-10260905110616.fits,2.130997896194458,301,0.00010153846153846155,True,220145.61631084533
70,HATP-10260905110916.fits,2.109323024749756,277,0.00010461538461538461,True,221272.95577984393
71,HATP-10260905111215.fits,2.065681219100952,291,0.0001076923076923077,True,226474.7043295347
72,HATP-10260905111515.fits,2.1911799907684326,269,9.23076923076923e-05,True,194192.51391815982
73,HATP-10260905111815.fits,2.11995792388916,280,9.846153846153846e-05,True,209122.49697764713
74,HATP-10260905112115.fits,2.0756754875183105,303,9.846153846153846e-05,True,228416.2352543885
75,HATP-10260905112415.fits,2.1456897258758545,275,0.00010461538461538461,True,203186.41651215183
76,HATP-10260905112716.fits,2.2484130859375,225,7.384615384615384e-05,True,136938.7168141593
77,HATP-10260905113015.fits,2.07712984085083,337,0.00011384615384615384,True,224793.79847968015
78,HATP-10260905113316.fits,2.1043903827667236,342,0.00011384615384615384,True,222334.1964179722
79,HATP-10260905113615.fits,2.062114953994751,322,0.00011384615384615384,True,222981.44736521112
80,HATP-10260905113916.fits,2.104271411895752,343,0.00011692307692307692,True,217905.09331727764
81,HATP-10260905114216.fits,2.057605504989624,295,0.00010461538461538461,True,229814.268150429
82,HATP-10260905114516.fits,2.2427005767822266,230,7.384615384615384e-05,True,151534.36166899552
83,HATP-10260905114815.fits,2.1730945110321045,258,9.23076923076923e-05,True,182049.41724673298
84,HATP-10260905115115.fits,2.125544548034668,324,0.00012923076923076923,True,233868.13039332913
85,HATP-10260905115415.fits,2.0972657203674316,334,0.00013846153846153847,True,249027.94930660474
86,HATP-10260905115715.fits,2.2074368000030518,297,0.00012,True,206709.89268966648
87,HATP-10260905120015.fits,2.2034194469451904,272,0.00011692307692307692,True,220520.27664967396
88,HATP-10260905120315.fits,2.297894239425659,295,0.0001076923076923077,True,201164.18487649027
89,HATP-10260905120615.fits,2.400878429412842,299,0.00012923076923076923,True,207290.86891041065
90,HATP-10260905120915.fits,2.558171272277832,291,0.00012307692307692307,True,192197.19949881395
91,HATP-10260905121518.fits,3.4269495010375977,249,0.00012307692307692307,True,123141.2267666124
92,HATP-10260905122123.fits,5.663516044616699,141,0.0001353846153846154,True,70989.78588821962
