frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,Qatar-1260821043741.fits,61273.19334722222,100.0,2.3037545680999756,-34.664452501546634,16.988724391143194,1,-16.0,-0.7482803132675424,-9.0,-0.8584865817724171,-8.0,-0.5037205212565348,84.5,5.484295353491993,-93.0,-3.8661149518823024,51.5,3.2749673304651465,2345.5,89.49245677987575,11.5,0.7171019668813947,12.5,0.77945865965369,1.5,0.09444759773560028,-0.5,-0.032118607594123584,2461273.6951664,0.0011111665822036315,-9.874357024193221,True,True,True,False,True,False,False,registration;target_flux;target_snr;comparison_ensemble,-1.7744975946843624,-8.995023875865767,1.0
1,Qatar-1260821043927.fits,61273.19434722223,100.0,2.3326549530029297,-39.422591704348974,18.14681749968051,6,1513.5,72.18441341736407,8163.0,389.32366483379116,10406.5,655.2459505570162,7975.0,384.2188433447033,6844.0,430.93290593496556,6548.5,356.93964322137606,5589.5,263.95742377156887,5950.5,378.4018077656865,5948.5,370.92878695599796,4450.0,282.9826139916486,3072.0,197.3367250582953,2461273.6961664152,0.9232652702148496,1.124149161449413,False,False,False,False,False,False,True,accepted,-1.7504972331225872,1.0247439364812634,1.0
2,Qatar-1260821044219.fits,61273.19634722223,100.0,2.344909191131592,-41.3944663965797,18.69987156060479,6,1445.5,68.94124188622382,8082.5,513.9790960870786,10474.5,499.5676500430657,7122.5,448.4686765812087,6762.5,434.40416771052145,6467.0,407.19507637075134,6566.0,413.428617821301,5878.0,373.79141686357536,5867.5,376.9118601170402,4138.5,268.60066651392447,2894.0,184.0340864925463,2461273.698166446,0.923992015458342,1.072797845276886,False,False,False,False,False,False,True,accepted,-1.702496498823166,0.9792774778302044,1.0
3,Qatar-1260821044515.fits,61273.19834722222,100.0,2.28837251663208,-42.00881248872244,18.102665170892536,6,1494.5,71.2782331366043,8170.0,382.0906349622388,10399.5,648.4784264854839,7853.5,499.4166199962724,6837.5,430.5236330114446,6473.0,403.6348723150668,5954.75,321.3781900663233,5832.5,278.1734993437568,5783.0,273.0952288524882,4606.0,287.21492690919166,2778.5,174.94843353891025,2461273.7001664764,0.909773335207092,1.1264987922658647,False,False,False,False,False,False,True,accepted,-1.6544957645237446,1.0297122562903174,1.0
4,Qatar-1260821044816.fits,61273.20034722222,100.0,2.3096108436584473,-42.44588658358981,20.564075437843435,6,1459.0,71.02000225513153,7966.5,391.89041372183226,10492.5,654.2775989133073,7383.5,464.9025585872031,6708.0,439.97588154497805,6491.0,408.70623793452097,6411.5,305.7881510574362,5862.5,282.4430055308242,5843.5,278.6981300326177,4385.0,281.6801886004638,2725.0,173.28710632072864,2461273.702166507,0.9099103096616801,1.0995746553039147,False,False,False,False,False,False,True,accepted,-1.6064950302243233,1.0064865435790677,1.0
5,Qatar-1260821045116.fits,61273.20234722222,100.0,2.292571544647217,-44.928424723598454,19.873242641595112,6,1483.5,70.05650562038151,7840.0,498.5581334145,10503.5,667.9343564182653,7687.5,488.8604146204042,6819.5,425.24146636066706,6492.5,404.85082782412655,6139.0,289.90690124942506,5943.0,370.58582514575033,5895.0,378.678383534717,4584.5,218.6517630075359,2814.0,178.9467586005616,2461273.7041665376,0.9072122223771939,1.1213641638258363,False,False,False,False,False,False,True,accepted,-1.558494295924902,1.0278478930242212,1.0
6,Qatar-1260821045415.fits,61273.20434722222,100.0,2.347691535949707,-48.258092699516055,18.767037157189193,1,269.0,12.959858164228864,206.5,7.8013715729605835,190.5,7.127369983873342,5980.0,279.669767083744,1487.0,56.7364243153593,190.0,8.972521784882026,64.0,2.3944970024561356,254.5,8.092030928188153,142.0,4.515003504136415,-22.5,-1.0625354745255031,1557.5,59.42634893824621,2461273.7061665677,0.0267154992361054,6.904893756143836,True,False,False,False,True,False,False,registration;comparison_ensemble,-1.5104935728013515,6.337805830383869,1.0
7,Qatar-1260821045715.fits,61273.20634722222,100.0,2.267681121826172,-45.8808124725326,13.794304627474979,6,1452.0,67.90643842902946,8207.0,387.56571730803574,10422.0,497.0637308462295,7683.5,488.60604822580495,6742.0,424.5104692889447,6523.5,406.7838853000677,6268.0,398.5921403370007,5904.0,278.80930851549203,5835.5,287.06163425265197,4689.5,295.27467305406503,2801.5,174.692274801585,2461273.7081665983,0.9122329884963705,1.09151286278691,False,False,False,False,False,False,True,accepted,-1.4624928385019302,1.0032550828416398,1.0
8,Qatar-1260821050015.fits,61273.209347222226,100.0,2.339294672012329,-46.797034209274926,12.403853931548664,10,1454.0,92.46218443682181,10386.0,490.46637504097225,10598.5,521.3645327095762,6879.0,428.9516895806186,6712.5,640.287908905261,6526.0,410.9100152150183,7283.0,477.6899739552885,5835.5,278.3165804407189,5831.0,220.2895769585141,5581.0,261.0095267716346,2662.0,169.28083560579068,2461273.711166644,0.9873609285819438,1.0098491026757643,False,False,False,False,False,False,True,accepted,-1.3904917426407337,0.9301252347566954,1.0
9,Qatar-1260821050315.fits,61273.211347222226,100.0,2.346909523010254,-45.254971235236525,18.603333919501402,6,1501.0,98.45017862239298,8817.5,424.80873369177704,10451.5,498.4706949663565,7492.5,481.29733479794186,6758.5,443.2881627044923,6505.0,417.8630847995478,6406.75,352.75866720625925,5787.75,325.38594536314173,5774.5,272.6938265621119,4310.0,203.53457312021862,2752.0,175.00407948427346,2461273.7131666746,0.9103102588984234,1.1307309248141824,False,False,False,False,False,False,True,accepted,-1.3424910083413124,1.0429101121873394,1.0
