frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
0,TRES-5260820082456.fits,2.0861387252807617,7,0.0,True,836.7266003040035
1,TRES-5260820082716.fits,2.0579352378845215,9,0.0,True,804.4755314364442
2,TRES-5260820083016.fits,2.0524444580078125,5,0.0,True,680.5124006572051
3,TRES-5260820083615.fits,2.0696933269500732,271,0.0,True,70690.52715984233
4,TRES-5260820083915.fits,2.0884835720062256,121,0.0,True,26228.322116137075
5,TRES-5260820084216.fits,2.090980291366577,130,0.0,True,31355.686297484197
6,TRES-5260820084515.fits,2.090165853500366,134,0.0,True,24602.826866980176
7,TRES-5260820084815.fits,2.07242751121521,286,0.0,True,63235.2274222363
8,TRES-5260820085115.fits,2.0960323810577393,241,0.0,True,67267.86598307414
9,TRES-5260820085416.fits,2.1006908416748047,301,0.0,True,69766.23411451405
10,TRES-5260820085716.fits,2.1536378860473633,255,0.0,True,55313.691778556255
11,TRES-5260820090015.fits,2.1340157985687256,241,0.0,True,54602.37330419896
12,TRES-5260820090315.fits,2.120513916015625,233,0.0,True,61515.08702597683
13,TRES-5260820090617.fits,2.1145951747894287,189,0.0,True,42961.20948692985
14,TRES-5260820090915.fits,2.170689105987549,162,0.0,True,38236.67765562857
15,TRES-5260820091215.fits,2.1824698448181152,228,0.0,True,56447.6514865399
16,TRES-5260820091515.fits,2.1757266521453857,178,0.0,True,45874.49781676041
17,TRES-5260820091815.fits,2.1362762451171875,208,0.0,True,49678.88556673785
18,TRES-5260820092116.fits,2.123136043548584,233,0.0,True,67588.53910903419
19,TRES-5260820092415.fits,2.1908252239227295,270,0.0,True,76468.13605199354
20,TRES-5260820092716.fits,2.1767091751098633,301,0.0,True,80071.69378451616
21,TRES-5260820093016.fits,2.17598032951355,262,0.0,True,69277.3939807311
22,TRES-5260820093315.fits,2.165607452392578,190,0.0,True,44035.538707876156
23,TRES-5260820093615.fits,2.1856298446655273,158,0.0,True,39880.6091459155
24,TRES-5260820093915.fits,2.1828181743621826,257,0.0,True,73309.03597973786
25,TRES-5260820094215.fits,2.176422119140625,188,0.0,True,44962.620693523284
26,TRES-5260820094516.fits,2.184356212615967,26,0.0,True,4119.867221634398
27,TRES-5260820094815.fits,2.18955135345459,12,0.0,True,1266.3415820560988
28,TRES-5260820095115.fits,2.2062923908233643,30,0.0,True,5781.097044790277
29,TRES-5260820095415.fits,2.2138218879699707,26,0.0,True,3585.4321808267177
30,TRES-5260820095715.fits,2.216829538345337,20,0.0,True,2820.9020546980946
31,TRES-5260820100015.fits,2.2377963066101074,18,0.0,True,2707.5726306355486
32,TRES-5260820100315.fits,2.246699333190918,7,0.0,True,647.5110149904386
33,TRES-5260820100616.fits,2.229556083679199,30,0.0,True,4829.23795489805
34,TRES-5260820100915.fits,2.1996066570281982,34,0.0,True,7577.484747099417
35,TRES-5260820101215.fits,2.21494197845459,22,0.0,True,3544.991079144125
36,TRES-5260820101515.fits,2.211690664291382,114,0.0,True,32273.09395879029
37,TRES-5260820101816.fits,2.2091152667999268,87,0.0,True,21603.004771252603
38,TRES-5260820102115.fits,2.2096774578094482,100,0.0,True,27332.98107834661
39,TRES-5260820102415.fits,2.2348146438598633,33,0.0,True,6441.190465196962
