frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,TRES-5260820082456.fits,61272.351347222226,0.0,2.0861387252807617,-75.24265070171623,-18.359639644598985,0,31.5,2.403762428962768,-13.0,-0.6948317194627179,11.0,0.6859236204952471,-11.5,-0.7313033844727997,-12.5,-0.77945865965369,14.5,1.3971594303443757,-8.0,-0.5037205212565348,-11.5,-0.7313033844727997,-6.0,-0.381549591898852,,,11.0,0.6995075851478953,2461272.8537064716,-0.004491310290958797,-44.38951568519538,True,False,True,False,True,False,False,registration;target_snr;comparison_ensemble,-1.8308354057371616,-48.060845888540484,1.0
1,TRES-5260820082716.fits,61272.35234722222,0.0,2.0579352378845215,-75.24265070171623,-18.359639644598985,0,-15.0,-0.9538739797471301,-11.0,-0.8231083445942966,18.0,1.1224204699013136,-6.5,-0.41334539122375635,-6.5,-0.4053185030199188,20.5,1.3168629113590669,-21.5,-2.030623351315406,-8.5,-0.5405285885233737,-4.0,-0.2543663945992347,,,-8.0,-0.5087327891984694,2461272.8547064834,-0.0025385666861941028,37.39776046738072,True,True,True,False,True,False,False,registration;target_flux;target_snr;comparison_ensemble,-1.8068351224064827,40.45268600839628,1.0
2,TRES-5260820083016.fits,61272.35434722222,0.0,2.0524444580078125,-75.24265070171623,-18.359639644598985,0,-14.0,-0.8902823810973214,9.0,0.5612102349506568,0.0,0.0,7.5,0.47693698987356503,8.5,0.5300318885645091,10.5,0.6744907594765952,-37.0,-2.3297074108114737,3.5,0.22257059527433035,23.0,1.4626067689455995,,,26.0,2.480072347342538,2461272.856706507,0.0029291154071470417,-30.250632911392405,True,True,True,False,True,False,False,registration;target_flux;target_snr;comparison_ensemble,-1.7588345557451248,-32.66020579872472,1.0
3,TRES-5260820083615.fits,61272.35934722222,2.0,2.0696933269500732,-75.24265070171623,-18.359639644598985,8,143.0,10.912318328307169,10676.0,665.7200520370235,2915.0,181.7697594312405,2375.5,151.0618425926205,2380.5,148.44010714444872,1756.0,112.80054987056201,1324.0,83.36574626795651,1347.5,85.68967918061719,988.0,94.24274919901646,,,4332.0,206.60910401322838,2461272.861706566,0.9304279851475474,0.9727386811089044,False,False,False,False,False,False,True,accepted,-1.6388331390917301,1.045307461928362,1.0
4,TRES-5260820083915.fits,61272.36134722222,2.0,2.0884835720062256,-73.33249870132963,-17.784875354595897,7,29.0,1.9021020519982654,4142.0,387.4221321942701,1076.5,67.78189264158247,949.5,59.785329366634976,953.0,60.00570709468471,667.0,42.41559629942238,520.5,33.43547050548265,539.0,33.938170119659034,426.0,40.63503153722774,,,1391.0,75.81935461875759,2461272.863706589,0.37082601054481545,0.49496070550122984,False,False,True,False,False,False,False,target_snr,-1.5908325836062431,0.5308925350352416,1.0
5,TRES-5260820084216.fits,61272.36334722222,2.0,2.090980291366577,-72.27076564837733,-18.16691461126544,7,70.0,4.451411905486607,4941.0,311.1103869410673,1169.5,74.37037462095124,1085.0,67.65701165794029,1058.5,67.31170717082247,726.5,45.744119836609066,521.0,33.13122289655032,617.25,46.63822376183942,456.5,29.941709887489935,,,1846.5,88.06641518015378,2461272.865706613,0.4137243735763098,1.0708529711552701,False,False,False,False,False,False,True,accepted,-1.5428320169448853,1.1464504517116882,1.0
6,TRES-5260820084515.fits,61272.36534722222,2.0,2.090165853500366,-71.20494284808652,-19.22176340317003,9,50.5,3.179735790431876,3878.0,246.60821956395802,969.0,91.51972220579668,961.0,59.92478175417568,958.0,60.92075150651671,674.0,42.43845391586306,466.0,29.341720363193154,456.5,28.74355224420102,396.5,25.734001274077816,,,1289.0,81.16196898745918,2461272.8677066364,0.37443814735196407,0.8535996009619196,False,False,False,False,False,False,True,accepted,-1.4948314502835274,0.9121593283083578,1.0
7,TRES-5260820084815.fits,61272.36734722222,2.0,2.07242751121521,-68.72929914201049,-13.04091241715264,8,143.0,9.00400431746056,9626.0,524.6851959454785,2264.5,145.4651737937857,2036.5,194.25643597550305,2042.0,194.78106666436395,1563.0,97.46351080309739,1239.5,78.04519826218437,1215.5,78.08033506131443,838.5,53.32155546786457,,,3457.0,164.87711739929142,2461272.8697066596,0.7981239007230799,1.1339884575806791,False,False,False,False,False,False,True,accepted,-1.4468308947980404,1.2095329264148542,1.0
8,TRES-5260820085115.fits,61272.36934722222,2.0,2.0960323810577393,-67.37370721407153,-13.086762196994016,8,119.75,9.048079863070507,9748.5,607.8842194907197,2191.0,140.74373847744954,2011.0,193.77155961534757,2024.25,152.94843977303108,1527.5,97.13616693758274,1137.5,111.91246986972553,1225.0,79.50605689973601,845.5,66.5473359295669,,,3630.0,173.1281273241041,2461272.871706683,0.7999053926206244,0.9475012912739822,False,False,False,False,False,False,True,accepted,-1.3988303281366825,1.0087485673521122,1.0
9,TRES-5260820085416.fits,61272.37134722222,2.0,2.1006908416748047,-65.15359800525414,-16.19937957532379,8,151.5,9.634127195446014,10570.0,504.12239829635826,3270.0,205.8957630636086,2380.0,148.40892879806256,2380.0,148.40892879806256,1673.0,105.34055400777285,1382.0,86.17694941131197,1369.0,87.05689855158808,982.5,63.11306392245284,,,3803.0,177.856876959779,2461272.873706707,0.9295175023651845,1.0315682674654556,False,False,False,False,False,False,True,accepted,-1.3508297614753246,1.0962172871037474,0.9841451619074706
