frame_index,file_name,background_rms,detected_sources,saturated_fraction_4095,usable_reference,reference_score
0,WASP-10260808054017.fits,2.055257797241211,16,0.0,True,1053.7861364747896
1,WASP-10260808054215.fits,2.003479480743408,19,0.0,True,1429.6496959135338
2,WASP-10260808054517.fits,2.0516462326049805,14,0.0,True,1018.4059941235723
3,WASP-10260808054815.fits,2.019402265548706,19,0.0,True,1309.3300624900605
4,WASP-10260808055116.fits,2.0621471405029297,13,0.0,True,1223.2656473284687
5,WASP-10260808055415.fits,1.9919673204421997,68,2.7692307692307694e-05,True,25739.93949742047
6,WASP-10260808055715.fits,2.0535876750946045,15,0.0,True,1012.7643339640194
7,WASP-10260808060016.fits,2.0608363151550293,16,0.0,True,1195.8312246479375
8,WASP-10260808060316.fits,2.0795137882232666,13,0.0,True,841.6583972255347
9,WASP-10260808060616.fits,2.0593910217285156,14,0.0,True,975.6903587431486
10,WASP-10260808060915.fits,2.1020426750183105,14,0.0,True,929.3320536269853
11,WASP-10260808061216.fits,2.069873571395874,21,0.0,True,1785.6376693955167
12,WASP-10260808061516.fits,2.077145576477051,17,0.0,True,1477.0864660739333
13,WASP-10260808061816.fits,2.0829153060913086,17,0.0,True,1704.4721955775733
14,WASP-10260808062115.fits,2.0907557010650635,18,0.0,True,1440.3778068059296
15,WASP-10260808062415.fits,2.108644485473633,16,0.0,True,1513.2902779373283
16,WASP-10260808062715.fits,2.0940310955047607,18,0.0,True,1622.1690736072844
17,WASP-10260808063015.fits,2.0569047927856445,19,0.0,True,1623.4906151229054
18,WASP-10260808063315.fits,2.113898992538452,25,0.0,True,2062.4210170267647
19,WASP-10260808063615.fits,2.1550817489624023,21,0.0,True,1730.99426976321
20,WASP-10260808063915.fits,2.105861186981201,13,0.0,True,1211.61187787726
21,WASP-10260808064216.fits,2.0958657264709473,19,0.0,True,1690.632353426315
22,WASP-10260808064516.fits,2.1190428733825684,18,0.0,True,1673.546737534471
23,WASP-10260808064816.fits,2.1033008098602295,16,0.0,True,1434.1278949176724
24,WASP-10260808065115.fits,2.1107676029205322,18,0.0,True,1570.4599717096676
25,WASP-10260808065415.fits,2.105703353881836,16,0.0,True,1428.3629762815954
26,WASP-10260808065715.fits,2.0766007900238037,15,0.0,True,1275.7261078348247
27,WASP-10260808070016.fits,2.0504300594329834,15,0.0,True,1385.0256974112126
28,WASP-10260808070315.fits,1.9856083393096924,22,0.0,True,2584.373826658558
29,WASP-10260808070615.fits,2.01600980758667,26,0.0,True,4475.9848425179625
30,WASP-10260808070915.fits,2.0430030822753906,27,0.0,True,7410.241311447248
31,WASP-10260808071216.fits,2.0490081310272217,27,0.0,True,4050.124675550138
32,WASP-10260808071516.fits,2.0649964809417725,19,0.0,True,1762.424767957135
33,WASP-10260808071815.fits,2.0377418994903564,23,0.0,True,1816.8733159555109
