frame_index,file_name,background_rms,detected_sources,reference_score
0,WASP-2260824045231.fits,4.8080644607543945,25,5161.334083621121
1,WASP-2260824045415.fits,4.981439590454102,12,3202.400708501598
2,WASP-2260824045715.fits,4.894247055053711,16,3200.252284201645
3,WASP-2260824050015.fits,4.95202112197876,21,5270.482509577867
4,WASP-2260824050316.fits,4.880586624145508,23,6967.878160083132
5,WASP-2260824050616.fits,5.2056074142456055,71,13470.026965407005
6,WASP-2260824050915.fits,4.858046531677246,22,6006.8333310103535
7,WASP-2260824051215.fits,4.945972442626953,14,3299.4897717570457
8,WASP-2260824051516.fits,5.0141777992248535,16,2327.9533191643986
9,WASP-2260824051815.fits,5.136035442352295,18,4309.823619560847
10,WASP-2260824052115.fits,4.922112941741943,59,18487.92287931734
11,WASP-2260824052415.fits,4.882362365722656,42,17482.12837120922
12,WASP-2260824052715.fits,4.705419540405273,81,24415.529429123286
13,WASP-2260824053017.fits,4.70921516418457,66,20388.804915380206
14,WASP-2260824053316.fits,4.703463077545166,66,27210.4292687348
15,WASP-2260824053616.fits,4.649710655212402,85,33333.7644105567
16,WASP-2260824053915.fits,4.675424575805664,137,38722.038271605445
17,WASP-2260824054216.fits,4.639049053192139,92,45045.73133496238
18,WASP-2260824054516.fits,4.37379264831543,148,44348.1067380917
19,WASP-2260824054815.fits,4.434134006500244,80,37865.532294525045
20,WASP-2260824055115.fits,4.509464263916016,105,36068.35577504655
21,WASP-2260824055415.fits,4.540072917938232,153,45832.6002396961
22,WASP-2260824055715.fits,4.490661144256592,167,58289.50071881379
23,WASP-2260824060015.fits,4.6698713302612305,161,59548.960737964124
24,WASP-2260824060315.fits,5.333005428314209,8,552.776673146388
25,WASP-2260824060615.fits,4.272793769836426,22,8943.414792017318
26,WASP-2260824060915.fits,3.992232322692871,4,293.56537293495063
27,WASP-2260824061215.fits,4.422469139099121,3,142.1370829330461
28,WASP-2260824061516.fits,4.4994988441467285,12,1327.9818518878444
29,WASP-2260824061815.fits,4.753149509429932,16,2012.2074674984954
30,WASP-2260824062115.fits,5.055298328399658,9,746.1366379012329
31,WASP-2260824062415.fits,4.69504451751709,5,601.881637850538
32,WASP-2260824062715.fits,4.062787055969238,100,39546.90868306941
33,WASP-2260824063016.fits,3.7782530784606934,102,40470.98144409888
34,WASP-2260824063315.fits,3.3373637199401855,369,166184.64520337954
35,WASP-2260824063615.fits,3.635195255279541,290,125917.09675050636
36,WASP-2260824063916.fits,4.0792083740234375,196,78454.23589129743
37,WASP-2260824064215.fits,4.056607246398926,179,72240.56933921156
38,WASP-2260824064516.fits,4.596277713775635,60,21906.789047475733
39,WASP-2260824064815.fits,4.173313617706299,43,14267.306503499229
40,WASP-2260824065115.fits,4.370800971984863,11,1770.3886468532223
41,WASP-2260824065416.fits,4.432646751403809,14,3611.9161913154717
42,WASP-2260824065715.fits,4.317746162414551,13,2793.7728500480953
43,WASP-2260824070015.fits,4.507963180541992,33,10512.547892485247
44,WASP-2260824070315.fits,4.786745071411133,17,3197.2772305751478
45,WASP-2260824070615.fits,4.6015472412109375,40,11321.645816684186
46,WASP-2260824070916.fits,4.411336421966553,67,22093.332106831484
47,WASP-2260824071215.fits,4.586635589599609,82,24701.707320359394
48,WASP-2260824071515.fits,4.028133869171143,156,59642.11975814695
49,WASP-2260824071815.fits,4.064809322357178,190,89352.02197237311
50,WASP-2260824072115.fits,3.9497547149658203,241,105265.32466103828
51,WASP-2260824072416.fits,3.1831440925598145,381,176135.80585711682
52,WASP-2260824072716.fits,4.230649948120117,187,78006.8331777182
53,WASP-2260824073015.fits,3.0188584327697754,6,600.6951452415533
54,WASP-2260824073315.fits,4.056208610534668,32,7326.392447363106
55,WASP-2260824073615.fits,5.2459940910339355,105,38465.83480891543
56,WASP-2260824073915.fits,3.766808032989502,317,148237.85103617678
57,WASP-2260824074215.fits,3.2251081466674805,182,91864.5755635139
58,WASP-2260824074515.fits,3.128998279571533,305,183673.85647361277
59,WASP-2260824074815.fits,3.681223154067993,6,415.4665156838633
60,WASP-2260824075115.fits,4.402608871459961,193,96601.98016233182
61,WASP-2260824075416.fits,4.089761734008789,253,118282.50755312089
62,WASP-2260824075715.fits,4.452898025512695,17,2027.2591676265024
63,WASP-2260824080015.fits,3.403843879699707,376,177894.33041959952
64,WASP-2260824080316.fits,4.25701379776001,8,961.6757945720045
65,WASP-2260824080615.fits,3.4275739192962646,52,14205.468319879814
66,WASP-2260824080915.fits,3.0294389724731445,250,102590.66795819551
67,WASP-2260824081215.fits,3.056028127670288,386,196296.03708872685
68,WASP-2260824081515.fits,4.169801235198975,193,90396.17429286081
69,WASP-2260824081816.fits,2.6080822944641113,193,64582.89498815715
70,WASP-2260824082115.fits,2.2489848136901855,8,590.614382006177
71,WASP-2260824082415.fits,2.2470078468322754,11,1384.1175523633067
72,WASP-2260824082715.fits,2.4802470207214355,17,2532.4286131476674
73,WASP-2260824083015.fits,2.321373701095581,4,428.6093983832256
74,WASP-2260824083316.fits,2.346019744873047,11,1863.9924617273311
75,WASP-2260824083615.fits,2.6771373748779297,128,41339.65774360194
76,WASP-2260824083916.fits,2.5972259044647217,344,139470.79252934418
