frame_index,file_name,mjd_utc,weather,background_rms,shift_x,shift_y,registration_stars,target_flux,target_snr,comp_1_flux,comp_1_snr,comp_2_flux,comp_2_snr,comp_3_flux,comp_3_snr,comp_4_flux,comp_4_snr,comp_5_flux,comp_5_snr,comp_6_flux,comp_6_snr,comp_7_flux,comp_7_snr,comp_8_flux,comp_8_snr,comp_9_flux,comp_9_snr,comp_10_flux,comp_10_snr,bjd_tdb,ensemble_flux,differential_flux,reject_registration,reject_target_flux,reject_target_snr,reject_nonfinite_flux,reject_comparison_ensemble,reject_background,accepted,rejection_reason,hours_from_expected_mid,detrended_flux,transit_model
0,WASP-2260824045231.fits,61276.203347222225,0.0,4.8080644607543945,77.70415782440233,30.013996924929103,0,7.5,0.1788513712025869,-14.0,-0.4451411905486607,-52.0,-1.6212740120796751,56.0,1.526198367595408,-56.0,-1.7805647621946428,59.5,1.7291175585440668,53.5,1.4580645118991844,31.0,0.9759585099345363,,,66.5,1.3957256109816487,-79.5,-2.478678537698734,2461276.7091934565,0.014898474107893788,0.80416494898485,True,False,True,False,True,False,False,registration;target_snr;comparison_ensemble,-0.31443703919649124,0.7391881432946369,0.9434899098918013
1,WASP-2260824045415.fits,61276.20434722222,0.0,4.981439590454102,77.70415782440233,30.013996924929103,7,106.5,2.9025022526591244,485.0,13.217968005067373,403.0,9.423655195213112,295.0,8.039794972154382,623.0,18.285030442537295,461.0,14.51344751870391,356.5,11.335202459328396,323.0,10.168858022866297,,,573.0,15.46242100071399,280.5,7.49616528112663,2461276.710193427,0.1477194852661235,1.1516950199268798,False,False,True,False,True,False,False,target_snr;comparison_ensemble,-0.290437750518322,1.058789653767452,0.9434899098918013
2,WASP-2260824045715.fits,61276.20634722222,0.0,4.894247055053711,76.22985620417316,33.701256381857306,8,72.0,2.3125397467768978,558.0,15.361871175017962,348.0,9.390789717711113,,,558.5,17.58299444511092,325.0,8.685396493283974,369.0,9.957475304124715,409.0,10.930237433086601,,,542.0,17.063532657565116,364.5,10.034770686906894,2461276.712193368,0.1531954842003518,0.7507791436624502,False,False,True,False,True,False,False,target_snr;comparison_ensemble,-0.2424391619861126,0.690413256133591,0.9434899098918013
3,WASP-2260824050015.fits,61276.209347222226,0.0,4.95202112197876,70.8971945591171,36.447984722169,8,96.5,3.6819535618239225,644.0,17.551281227347193,590.0,18.949978480532913,,,816.5,25.457119824289514,654.5,18.205264457449754,554.0,14.805260483936374,565.5,13.622304445857663,,,1021.0,30.270552326400164,475.25,12.211494607285786,2461276.7151932796,0.23809462646672763,0.6474457526412505,False,False,False,False,True,False,False,comparison_ensemble,-0.17044128477573395,0.5956449414547185,0.9434899098918013
4,WASP-2260824050316.fits,61276.211347222226,2.0,4.880586624145508,66.35883056649817,34.515974533673955,9,141.0,3.8048889373484687,1150.5,36.22065373160271,925.0,25.46546744962655,,,1037.5,32.66312755022843,679.0,21.589347741610045,669.5,18.431492386513487,612.5,19.672647151400692,,,1157.5,36.44103145965244,663.0,18.06909853063849,2461276.7171932203,0.28199221860672735,0.7987440849477578,False,False,False,False,True,False,False,comparison_ensemble,-0.12244270741939545,0.7350494181732413,0.9434899098918013
5,WASP-2260824050616.fits,61276.21334722223,2.0,5.2056074142456055,62.67432765406397,37.30260956157852,10,196.5,5.355321057723173,818.0,22.293397583804353,653.0,20.76265695916253,,,882.5,24.051251060766923,600.0,19.6769177792924,526.5,14.494668769976625,483.0,15.839918812330382,,,847.0,27.777248931767772,510.0,13.762364241473184,2461276.719193161,0.23337743964310642,1.3450218841131536,False,False,False,False,True,False,False,comparison_ensemble,-0.07444413006305695,1.2381209748386968,0.9434899098918013
6,WASP-2260824050915.fits,61276.21534722222,2.0,4.858046531677246,56.194013948792154,36.26125748465458,11,120.75,3.6553658797685498,980.0,26.70847143291964,826.5,26.279228142033432,,,943.0,29.688028221557023,585.0,18.600542605069037,535.5,17.026650538486273,535.0,16.843154929515382,718.0,22.829383915281312,956.0,30.396784154608547,605.5,23.337380277890194,2461276.7211931017,0.2506634316475851,0.7695233905243444,False,False,False,False,True,False,False,comparison_ensemble,-0.026445552706718445,0.7085662115234868,0.9434899098918013
7,WASP-2260824051215.fits,61276.21734722222,2.0,4.945972442626953,51.77038784253534,30.34423693586983,10,123.0,3.128706653570587,547.0,17.054555473222734,628.0,19.771030459318993,389.5,10.615254717471633,654.0,16.312510829232426,326.5,10.707522758231615,506.5,15.016684381314088,336.75,10.19415701873341,467.5,12.741031015193808,554.0,15.409803681324926,370.5,11.664278320346634,2461276.723193043,0.16422194786287908,1.1964638439635067,False,False,False,False,True,False,False,comparison_ensemble,0.02155303582549095,1.1020038503854104,0.9434899098918013
8,WASP-2260824051516.fits,61276.21934722222,2.0,5.0141777992248535,49.70872776576742,30.890920787276258,10,62.5,1.4904280933548908,479.0,12.800938216255457,475.5,14.825303706613182,287.5,6.855969229432497,478.0,12.898843347890553,245.0,6.231976667681251,325.0,10.231823088023363,331.5,10.540307476205788,273.0,7.295733054358538,416.5,11.239264130536434,294.5,7.8703054377604005,2461276.7251929836,0.13304173277400605,0.7504431392264707,False,False,True,False,True,False,False,target_snr;comparison_ensemble,0.06955161318182945,0.69139507137478,0.9434899098918013
9,WASP-2260824051815.fits,61276.22134722222,2.0,5.136035442352295,47.23977495905132,30.88646259271775,10,121.5,3.344923562302298,849.0,22.68892807014798,579.0,15.77980097924538,580.5,13.70670762137899,734.5,20.6467087269861,550.5,14.711725444777931,449.5,12.250467254180998,397.5,10.622908018708861,590.5,15.934658989391991,749.5,23.368170616417625,513.0,13.843319325246556,2461276.7271929244,0.18982243951239702,1.0224789933559666,False,False,False,False,True,False,False,comparison_ensemble,0.11755019053816795,0.9422971403224055,0.9434899098918013
